DATE,T2MIN,T2MAX,RH,wind,Prep,mean_temp
1981-01-01,3,23.01,57.5,2.3,2.58,12.72
1981-02-01,5.19,28.87,56.25,2.65,1.34,15.46
1981-03-01,7.69,34.29,52.75,2.92,2.33,19.48
1981-04-01,11.81,41.29,31,3.55,0.16,27.91
1981-05-01,22.72,47.49,21.25,2.98,0.81,34.65
1981-06-01,24.5,49.16,15.69,3.23,0.54,37.6
1981-07-01,24.62,43.65,67.62,2.51,15.02,31.55
1981-08-01,23.51,36.46,76.81,2.32,2.87,29.69
1981-09-01,21.13,38.4,53.31,2.37,1.67,29.58
1981-10-01,15.44,35.65,35.5,2.48,0.03,24.5
1981-11-01,8.74,30.73,42,2.12,1.88,18.25
1981-12-01,6.65,23.54,38.62,1.91,0.04,13.83
1982-01-01,5.08,23.76,50.25,2.18,0.8,12.93
1982-02-01,3.1,23.68,57.75,2.58,3.19,13.09
1982-03-01,6.68,29.76,73.44,2.76,5.8,16.8
1982-04-01,13.34,36.65,57.06,2.56,8.22,24.65
1982-05-01,16.65,40.69,59.25,2.38,3.01,27.35
1982-06-01,23.73,44.86,35,2.6,1.13,34.26
1982-07-01,26.62,45.59,40,2.48,2.63,35.15
1982-08-01,24.05,38.92,58.62,2.12,4.6,31.58
1982-09-01,19.59,40.68,33.69,2.48,0.2,30.01
1982-10-01,16.21,37.1,28.19,2.59,0.15,26.39
1982-11-01,8.11,31.92,34.38,2.34,1.28,19.82
1982-12-01,4.36,25.59,49.06,2.58,0.53,13.84
1983-01-01,2.64,23.05,44,2.47,0.59,12.01
1983-02-01,4.58,28.01,43.94,2.69,0.48,14.65
1983-03-01,8.85,32.38,37.25,3.5,1.03,20.01
1983-04-01,13.69,41.26,41.12,3.25,1.72,25.13
1983-05-01,21.76,43.48,34.75,3.37,1.72,31.39
1983-06-01,23.88,47.49,24,3.15,0.35,35.6
1983-07-01,25.93,45.75,36.06,2.51,1.41,35.69
1983-08-01,25.83,44.39,54.94,2.27,3.54,32.73
1983-09-01,20.76,39.26,50.81,2.44,1.97,30.56
1983-10-01,13.23,38.33,30.25,2.59,0.21,24.67
1983-11-01,10.84,31.4,19.56,2.21,0.01,19.42
1983-12-01,4.24,26.2,29.75,2.21,0.05,14.39
1984-01-01,4.58,23.98,29.19,2.11,0.04,12.42
